Subject,Question,A,B,C,D,Answer
English,Choose the correct article: He is ___ honest man.,a,an,the,no article,b
English,Choose the correct article: Copper is ___ useful metal.,a,an,the,none,a
English,Fill in the blank: She ___ to school every day.,go,goes,going,gone,b
English,Fill in the blank: I ___ him since 2010.,know,have known,am knowing,knew,b
English,Fill in the blank: The train ___ before we reached the station.,left,has left,had left,leaves,c
English,Choose the correct preposition: He is afraid ___ dogs.,from,with,of,by,c
English,Choose the correct preposition: The book is ___ the table.,in,at,on,into,c
English,Choose the correct preposition: She jumped ___ the river.,in,on,into,at,c
English,Choose the correct preposition: He died ___ cancer.,from,of,by,with,b
English,Change into Passive Voice: 'He writes a letter.',A letter is wrote by him,A letter is written by him,A letter was written by him,A letter is being written by him,b
English,Change into Passive Voice: 'Who broke the cup?',By whom was the cup broken?,Who broken the cup?,The cup was broken by who?,Who had broken the cup?,a
English,Change into Indirect Speech: He said, 'I am busy.',He said that he was busy,He says that he is busy,He said that he is busy,He asked that he was busy,a
English,Change into Indirect Speech: She said to me, 'Open the door.',She told me that open the door,She ordered me to open the door,She said to me open the door,She asked me open the door,b
English,Synonym of 'Happy' is:,Sad,Joyful,Angry,Cry,b
English,Synonym of 'Begin' is:,Start,End,Finish,Stop,a
English,Synonym of 'Famous' is:,Unknown,Notorious,Popular,Poor,c
English,Antonym of 'Good' is:,Bad,Nice,Fine,Best,a
English,Antonym of 'Ancient' is:,Old,Modern,Past,History,b
English,Antonym of 'Victory' is:,Win,Success,Defeat,Triumph,c
English,One word for: 'A person who cannot read or write',Literate,Illiterate,Scholar,Blind,b
English,One word for: 'A life history written by oneself',Biography,Autobiography,History,Novel,b
English,One word for: 'One who believes in God',Atheist,Theist,Pagan,Fanatic,b
English,Find the correctly spelled word:,Grammer,Gramar,Grammar,Gremmar,c
English,Find the correctly spelled word:,Recieve,Receive,Riceive,Receve,b
English,Find the correctly spelled word:,Vaccuum,Vacuum,Vacume,Vacum,b
English,Spot the error: 'One of the boy / is missing / from the class.',One of the boy,is missing,from the class,No error,a
English,Spot the error: 'He is / senior than / me.',He is,senior than,me,No error,b
English,Fill in the blank: If I were a bird, I ___ fly.,will,would,shall,can,b
English,Fill in the blank: Work hard lest you ___ fail.,should,would,may,might,a
English,Fill in the blank: Neither he ___ his friend is guilty.,or,nor,and,but,b
English,Choose the correct article: ___ sun rises in the east.,A,An,The,None,c
English,Choose the correct article: He is ___ M.L.A.,a,an,the,none,b
English,He is fond ___ music.,with,of,in,at,b
English,Distribute these sweets ___ the two boys.,among,between,with,in,b
English,Distribute these sweets ___ the students.,among,between,in,for,a
English,Change into Passive: 'I know him.',He is known by me,He is known to me,He was known to me,He is knew by me,b
English,Change into Indirect: He said, 'The earth is round.',He said that the earth was round,He said that the earth is round,He asked if the earth is round,He told that the earth was round,b
English,Synonym of 'Beautiful' is:,Ugly,Pretty,Bad,Rough,b
English,Synonym of 'Brief' is:,Long,Short,Large,Huge,b
English,Antonym of 'Arrival' is:,Departure,Coming,Entry,Visit,a
English,Antonym of 'Import' is:,Export,Report,Support,Transport,a
English,One word: 'A place where birds are kept',Zoo,Aviary,Apiary,Aquarium,b
English,One word: 'A government by the people',Monarchy,Democracy,Autocracy,Plutocracy,b
English,Correct spelling:,Comittee,Committee,Commitee,Comite,b
English,Correct spelling:,Colonel,Cannel,Colonal,Kernel,a
English,Error spotting: 'She is / my cousin / sister.',She is,my cousin,sister,No error,c
English,Error spotting: 'I prefer / tea / than coffee.',I prefer,tea,than coffee,No error,c
English,Fill in the blank: It ___ raining since morning.,is,was,has been,had,c
English,Fill in the blank: Look! The birds ___.,fly,are flying,flew,flown,b
English,Choose the correct model: ___ I come in sir?,Can,May,Should,Must,b
English,Choose the correct model: You ___ obey your parents.,can,may,must,might,c
English,plural of 'Child' is:,Childs,Children,Childrens,Childes,b
English,plural of 'Tooth' is:,Tooths,Teeth,Teeths,Tooth,b
English,Gender of 'Horse' is:,Mare,Bitch,Cow,Lioness,a
English,Gender of 'Nephew' is:,Niece,Aunt,Sister,Mother,a
English,Adjective of 'Cloud' is:,Cloudy,Cloudly,Cloudness,Clouds,a
English,Verb form of 'Beauty' is:,Beautiful,Beautify,Beautifully,Beaut,b
English,He prevented me ___ going there.,to,of,from,with,c
English,He is good ___ English.,in,at,on,with,b
English,Synonym of 'Huge' is:,Tiny,Small,Enormous,Little,c
English,Synonym of 'Permit' is:,Allow,Deny,Forbid,Stop,a
English,Antonym of 'Artificial' is:,Natural,Man-made,Fake,Synthetic,a
English,Antonym of 'Buy' is:,Purchase,Sell,Take,Give,b
English,One word: 'One who eats everything',Carnivorous,Herbivorous,Omnivorous,Insectivorous,c
English,One word: 'A cure for all diseases',Panacea,Antibiotic,Antidote,Remedy,a
English,Correct spelling:,Psychology,Sychology,Psycology,Psychlogy,a
English,Correct spelling:,Knowledge,Nowledge,Knowlege,Knolage,a
English,Fill in the blank: Bread and butter ___ my favorite breakfast.,are,is,were,have,b
English,Fill in the blank: Slow and steady ___ the race.,win,wins,winning,won,b
English,Choose the correct article: I saw ___ one-eyed man.,a,an,the,none,a
English,Choose the correct article: ___ Ganges is a holy river.,A,An,The,None,c
