Subject,Question,A,B,C,D,Answer
teaching,The primary aim of teaching is to?,Complete syllabus,Develop thinking power of students,Give notes,Maintain discipline,b
teaching,If a student is late to class, you will?,Punish him,Ignore him,Try to know the reason,Send him to principal,c
teaching,A good teacher is one who?,Knows everything,Inspires students to learn,Is strict,Is friendly only,b
teaching,Homework should be given according to?,Student's age,Student's ability,Class standard,Teacher's mood,b
teaching,What is the most important quality of a teacher?,Patience and tolerance,Knowledge of subject,Good voice,Strictness,b
teaching,Education is a process of?,Learning,Teaching,Training,All of the above,d
teaching,To maintain discipline in class, a teacher should?,Use a stick,Be a dictator,Keep students busy in work,Complain to parents,c
teaching,If students do not understand a topic, the teacher should?,Repeat the lesson,Give examples,Scold them,Leave the topic,b
teaching,The best method of teaching is?,Lecture method,Demonstration method,Project method,Reading method,c
teaching,Evaluation should be?,Continuous,Once a year,Twice a year,Never,a
teaching,Why are co-curricular activities important?,For fun,For overall development,To pass time,To reduce teacher's work,b
teaching,If a student misbehaves, you will?,Beat him,Expel him,Counsel him,Insult him,c
teaching,A teacher learns most from?,Books,Students,Principal,Colleagues,b
teaching,The main objective of education is?,Getting a job,Character building,Earning money,Becoming famous,b
teaching,Blackboard writing should be?,Small,Clear and legible,Colorful,Fast,b
teaching,Which is not a visual aid?,Radio,Chart,Map,Model,a
teaching,If a student asks a wrong question, you will?,Laugh at him,Correct him politely,Ignore him,Scold him,b
teaching,Success of a teacher lies in?,Good result of students,High salary,Good relation with principal,Good clothes,a
teaching,Moral values can be inculcated by?,Giving lectures,Teacher acting as a role model,Reading books,Punishment,b
teaching,Who is the center of modern education?,Teacher,Student,School,Curriculum,b
teaching,Micro-teaching is useful for?,Students,Teachers,Parents,Principal,b
teaching,To make learning interesting, a teacher should use?,Teaching aids,Stories,Examples,All of the above,d
teaching,If you become a teacher, your priority will be?,Money,Service to nation,Power,Holidays,b
teaching,Dyslexia is associated with?,Reading disorder,Mental disorder,Physical disability,Hearing loss,a
teaching,The Right to Education Act was enacted in?,2009,2005,2010,2002,a
