Subject,Question,A,B,C,D,Answer
PTET GK,भारत के वर्तमान राष्ट्रपति कौन हैं (2025-26 संदर्भ)?,द्रौपदी मुर्मू,रामनाथ कोविंद,जगदीप धनखड़,नरेंद्र मोदी,a
PTET GK,राजस्थान का राज्य खेल कौन सा है?,क्रिकेट,कबड्डी,बास्केटबॉल,हॉकी,c
PTET GK,भारत का संविधान कब लागू हुआ?,15 अगस्त 1947,26 जनवरी 1950,26 नवंबर 1949,2 अक्टूबर 1950,b
PTET GK,हल्दीघाटी का युद्ध कब लड़ा गया?,1576,1526,1761,1191,a
PTET GK,भारत की संसद में कौन शामिल है?,केवल लोकसभा,केवल राज्यसभा,लोकसभा और राज्यसभा,राष्ट्रपति लोकसभा और राज्यसभा,d
PTET GK,राजस्थान की सबसे लंबी नदी कौन सी है?,बनास,चंबल,लूनी,माही,b
PTET GK,क्षेत्रफल की दृष्टि से भारत का सबसे बड़ा राज्य कौन सा है?,मध्य प्रदेश,उत्तर प्रदेश,राजस्थान,महाराष्ट्र,c
PTET GK,नीति आयोग का अध्यक्ष कौन होता है?,राष्ट्रपति,प्रधानमंत्री,गृहमंत्री,वित्तमंत्री,b
PTET GK,काजीरंगा राष्ट्रीय उद्यान किस राज्य में है?,असम,बंगाल,बिहार,ओडिशा,a
PTET GK,राजस्थान दिवस कब मनाया जाता है?,30 मार्च,1 नवंबर,26 जनवरी,15 अगस्त,a
PTET GK,भारत का राष्ट्रीय जलीय जीव कौन सा है?,व्हेल,डॉल्फिन (गंगा),मगरमच्छ,कछुआ,b
PTET GK,राजस्थान में 'झीलों की नगरी' किसे कहते हैं?,जयपुर,उदयपुर,कोटा,अजमेर,b
PTET GK,गांधीजी ने 'करो या मरो' का नारा किस आंदोलन में दिया?,असहयोग आंदोलन,सविनय अवज्ञा आंदोलन,भारत छोड़ो आंदोलन,चंपारण,c
PTET GK,राज्यसभा के सदस्यों का कार्यकाल कितना होता है?,5 वर्ष,6 वर्ष,4 वर्ष,आजीवन,b
PTET GK,मेहरानगढ़ दुर्ग कहां स्थित है?,जयपुर,जोधपुर,बीकानेर,जैसलमेर,b
PTET GK,भारत का लौह पुरुष (Iron Man) किसे कहा जाता है?,नेहरू जी,गांधी जी,सरदार पटेल,सुभाष चंद्र बोस,c
PTET GK,राजस्थान का राज्य पक्षी?,मोर,गोडावण,तोता,कबूतर,b
PTET GK,पानीपत का प्रथम युद्ध कब हुआ?,1526,1556,1761,1191,a
PTET GK,संविधान सभा के स्थायी अध्यक्ष कौन थे?,डॉ. अंबेडकर,डॉ. राजेंद्र प्रसाद,सच्चिदानंद सिन्हा,नेहरू जी,b
PTET GK,राजस्थान में 'ऊंट महोत्सव' कहां मनाया जाता है?,जैसलमेर,बाड़मेर,बीकानेर,जोधपुर,c
PTET GK,भारत की सबसे ऊंची पर्वत चोटी (K2 के बाद) कौन सी है?,कंचनजंगा,नंदा देवी,एवरेस्ट,मकालू,a
PTET GK,विटामिन C का सबसे अच्छा स्रोत क्या है?,दूध,अंडा,आंवला/खट्टे फल,गाजर,c
PTET GK,थेवा कला (Thewa Art) किस जिले की प्रसिद्ध है?,प्रतापगढ़,चित्तौड़गढ़,जयपुर,बीकानेर,a
PTET GK,भारत के किस राज्य में जनसंख्या घनत्व सर्वाधिक है?,बिहार,बंगाल,केरल,यूपी,a
PTET GK,स्वराज मेरा जन्मसिद्ध अधिकार है - यह किसने कहा?,गांधी जी,तिलक,भगत सिंह,नेहरू जी,b
PTET GK,राजस्थान की 'स्वर्ण नगरी' (Golden City) किसे कहते हैं?,जयपुर,जोधपुर,जैसलमेर,बीकानेर,c
PTET GK,सौरमंडल का सबसे बड़ा ग्रह कौन सा है?,पृथ्वी,मंगल,बृहस्पति,शनि,c
PTET GK,भारत का नेपोलियन किसे कहा जाता है?,चंद्रगुप्त,समुद्रगुप्त,अशोक,हर्षवर्धन,b
PTET GK,खिमेल माता का मंदिर (या करणी माता) कहां है? (प्रसिद्ध चूहों वाली देवी),देशनोक,कोलायत,पुष्कर,आमेर,a
PTET GK,बंगाल का विभाजन कब हुआ?,1905,1906,1911,1907,a
PTET GK,राजस्थान में 1857 की क्रांति की शुरुआत कहां से हुई?,नीमच,नसीराबाद,एरिनपुरा,खेरवाड़ा,b
PTET GK,विश्व पर्यावरण दिवस कब मनाया जाता है?,5 जून,1 दिसंबर,11 जुलाई,2 अक्टूबर,a
PTET GK,भारत की पहली महिला राष्ट्रपति कौन थीं?,इंदिरा गांधी,प्रतिभा पाटिल,सरोजिनी नायडू,द्रौपदी मुर्मू,b
PTET GK,राजस्थान का राज्य वृक्ष?,खेजड़ी,रोहिड़ा,नीम,पीपल,a
PTET GK,ब्रह्म समाज की स्थापना किसने की?,राजा राममोहन राय,दयानंद सरस्वती,विवेकानंद,ईश्वर चंद्र विद्यासागर,a
PTET GK,भारत का केंद्रीय बैंक कौन सा है?,SBI,RBI,PNB,BOB,b
PTET GK,राजस्थान में पंचायती राज व्यवस्था का उद्घाटन कहां हुआ?,जयपुर,नागौर,अजमेर,उदयपुर,b
PTET GK,इंसुलिन का प्रयोग किस बीमारी में होता है?,मधुमेह (Diabetes),टीबी,कैंसर,एड्स,a
PTET GK,केवलादेव घना पक्षी विहार कहां है?,अलवर,भरतपुर,सवाई माधोपुर,धौलपुर,b
PTET GK,भारत का राष्ट्रीय गान 'जन गण मन' किसने लिखा?,बंकिम चंद्र चटर्जी,रवींद्रनाथ टैगोर,इकबाल,मैथिलीशरण गुप्त,b
PTET GK,राजस्थान का शिमला किसे कहते हैं?,उदयपुर,माउंट आबू,कुंभलगढ़,झालावाड़,b
PTET GK,जीएसटी (GST) भारत में कब लागू हुआ?,1 जुलाई 2017,1 अप्रैल 2016,8 नवंबर 2016,1 जनवरी 2018,a
PTET GK,राजस्थान का राज्य नृत्य?,कत्थक,घूमर,कालबेलिया,तेरहताली,b
PTET GK,मौलिक अधिकार संविधान के किस भाग में हैं?,भाग 2,भाग 3,भाग 4,भाग 5,b
PTET GK,हवा महल में कितनी खिड़कियां (झरोखे) हैं?,953,365,100,500,a
PTET GK,भारत में कुल कितने राज्य हैं?,28,29,27,30,a
PTET GK,राजस्थान की साक्षरता दर (2011) लगभग कितनी है?,66.1%,60%,70%,75%,a
PTET GK,डिस्कवरी ऑफ इंडिया (भारत एक खोज) पुस्तक किसने लिखी?,गांधी जी,नेहरू जी,पटेल जी,अंबेडकर जी,b
PTET GK,अरावली पर्वतमाला की सबसे ऊंची चोटी?,गुरु शिखर,शेर,जरगा,अचलगढ़,a
PTET GK,भारत का मैनचेस्टर किसे कहा जाता है?,मुंबई,अहमदाबाद,सूरत,कानपुर,b
PTET GK,बनी-ठणी चित्र शैली किससे संबंधित है?,किशनगढ़,बूंदी,जयपुर,मेवाड़,a
PTET GK,अंतरिक्ष में जाने वाले प्रथम भारतीय?,राकेश शर्मा,कल्पना चावला,सुनीता विलियम्स,विक्रम साराभाई,a
PTET GK,वंदे मातरम् गीत किस पुस्तक से लिया गया है?,गीतांजलि,आनंदमठ,गोदान,कर्मभूमि,b
PTET GK,राजस्थान का क्षेत्रफल भारत के क्षेत्रफल का कितना प्रतिशत है?,10.41%,11%,9%,12%,a
PTET GK,लोथल किस सभ्यता का स्थल है?,वैदिक,सिंधु घाटी,मेसोपोटामिया,मिस्र,b
PTET GK,विजय स्तंभ कहां स्थित है?,कुंभलगढ़,चित्तौड़गढ़,रणथंभौर,आमेर,b
PTET GK,भारत के मुख्य न्यायाधीश की नियुक्ति कौन करता है?,प्रधानमंत्री,राष्ट्रपति,कानून मंत्री,संसद,b
PTET GK,आरबीआई (RBI) का मुख्यालय कहां है?,दिल्ली,मुंबई,कोलकाता,चेन्नई,b
PTET GK,कालीबंगा कहां स्थित है?,गंगानगर,हनुमानगढ़,बीकानेर,चुरू,b
PTET GK,मानव शरीर की सबसे बड़ी हड्डी?,फीमर,स्टेपीज,रेडियस,ह्यूमरस,a
PTET GK,राजस्थान का एकीकरण कितने चरणों में पूरा हुआ?,5,7,6,4,b
PTET GK,भारत छोड़ो आंदोलन कब शुरू हुआ?,1940,1942,1945,1930,b
PTET GK,भर्तृहरि का मेला किस जिले में लगता है?,अजमेर,अलवर,सीकर,झुंझुनूं,b
PTET GK,संविधान में कितने मौलिक कर्तव्य हैं?,10,11,9,12,b
PTET GK,राजस्थान में तांबा जिला (Copper District) किसे कहते हैं?,उदयपुर,झुंझुनूं (खेतड़ी),भीलवाड़ा,नागौर,b
PTET GK,जलियांवाला बाग हत्याकांड कब हुआ?,1919,1920,1921,1922,a
PTET GK,संसदीय शासन प्रणाली किस देश से ली गई है?,अमेरिका,ब्रिटेन,रूस,कनाडा,b
PTET GK,राजस्थान की मरुगंगा किसे कहते हैं?,लूनी,इंदिरा गांधी नहर,माही,गंग नहर,b
PTET GK,प्रकाश वर्ष (Light Year) किसका मात्रक है?,समय,दूरी,प्रकाश,गति,b
PTET GK,भारत का सबसे लंबा बांध कौन सा है?,भाखड़ा नांगल,हीराकुंड,टिहरी,सरदार सरोवर,b
PTET GK,राजस्थान का राज्य पुष्प?,कमल,रोहिड़ा,गुलाब,सूरजमुखी,b
PTET GK,राज्यसभा का पदेन सभापति कौन होता है?,राष्ट्रपति,उपराष्ट्रपति,प्रधानमंत्री,लोकसभा अध्यक्ष,b
PTET GK,ख्वाजा मोईनुद्दीन चिश्ती की दरगाह कहां है?,दिल्ली,अजमेर,आगरा,जयपुर,b
PTET GK,भारत का दक्षिणतम बिंदु कौन सा है?,कन्याकुमारी,इंदिरा पॉइंट,इंदिरा कॉल,किबिथू,b
PTET GK,राजस्थान में विधान सभा सीटें कितनी हैं?,200,250,150,545,a
PTET GK,आर्य समाज की स्थापना किसने की?,विवेकानंद,दयानंद सरस्वती,राजा राममोहन राय,केशव चंद्र सेन,b
PTET GK,भारत रत्न प्राप्त करने वाली पहली महिला?,सरोजिनी नायडू,इंदिरा गांधी,मदर टेरेसा,लता मंगेशकर,b
PTET GK,पुष्कर मेला किस माह में भरता है?,कार्तिक,चैत्र,श्रावण,फाल्गुन,a
PTET GK,नीली क्रांति (Blue Revolution) किससे संबंधित है?,दूध,मत्स्य (मछली),तिलहन,अंडा,b
