Subject,Question,A,B,C,D,Answer
Teaching Aptitude,शिक्षण का मुख्य उद्देश्य क्या होना चाहिए?,छात्रों को उत्तीर्ण करना,सिलेबस पूरा करना,छात्रों की सोचने की शक्ति का विकास,नोट्स लिखवाना,c
Teaching Aptitude,यदि कोई छात्र कक्षा में देर से आता है तो आप क्या करेंगे?,उसे दंड देंगे,कारण जानने का प्रयास करेंगे,नजरअंदाज करेंगे,प्रधानाचार्य के पास भेजेंगे,b
Teaching Aptitude,एक सफल शिक्षक वह है जो?,कठोर अनुशासन रखता है,छात्रों के प्रति मैत्रीपूर्ण और अनुशासित है,केवल अपने विषय को जानता है,छात्रों को डराकर रखता है,b
Teaching Aptitude,कक्षा में अनुशासन बनाए रखने का सबसे प्रभावी तरीका क्या है?,शारीरिक दंड,शिक्षण को रोचक बनाना,अभिभावकों से शिकायत,कक्षा से बाहर निकालना,b
Teaching Aptitude,नेता के रूप में शिक्षक का व्यवहार कैसा होना चाहिए?,सत्तावादी,प्रजातांत्रिक (Democratic),कठोर,उदासीन,b
Teaching Aptitude,यदि छात्र आपकी बात नहीं समझ पा रहे हैं तो आप क्या करेंगे?,उन्हें डांटेंगे,शिक्षण विधि बदलेंगे,पढ़ाना छोड़ देंगे,बुद्धिमान छात्रों से पूछेंगे,b
Teaching Aptitude,मूल्यांकन का सबसे अच्छा तरीका कौन सा है?,वार्षिक परीक्षा,सतत और व्यापक मूल्यांकन (CCE),मासिक टेस्ट,केवल मौखिक परीक्षा,b
Teaching Aptitude,सृजनात्मकता (Creativity) के विकास के लिए शिक्षक को क्या करना चाहिए?,तथ्यात्मक प्रश्न पूछें,मुक्त अंत वाले (Open-ended) प्रश्न पूछें,रटने पर जोर दें,अनुशासन में रखें,b
Teaching Aptitude,ऑपरेशन ब्लैकबोर्ड का संबंध किससे है?,प्राथमिक शिक्षा,उच्च शिक्षा,प्रौढ़ शिक्षा,तकनीकी शिक्षा,a
Teaching Aptitude,यदि कोई अभिभावक आपसे शिकायत करता है तो आप?,बहस करेंगे,धैर्यपूर्वक सुनेंगे और समाधान करेंगे,प्रधानाचार्य को भेजेंगे,अनसुना करेंगे,b
Teaching Aptitude,शिक्षक राष्ट्र का निर्माता है क्योंकि?,वह छात्रों का भविष्य संवारता है,वह राजनीति करता है,वह वेतन लेता है,वह समाज से अलग है,a
Teaching Aptitude,एक अच्छे संप्रेषण (Communication) के लिए क्या आवश्यक है?,स्पष्टता,जोर से बोलना,कठिन शब्द,गुस्सा,a
Teaching Aptitude,छात्रों में नैतिक मूल्यों का विकास कैसे किया जा सकता है?,भाषण देकर,स्वयं आदर्श प्रस्तुत करके,धार्मिक पुस्तकें पढ़ाकर,दंड देकर,b
Teaching Aptitude,यदि कक्षा में कोई छात्र आक्रामक व्यवहार करता है?,उसे मारेंगे,कक्षा से निकाल देंगे,मनोवैज्ञानिक कारण जानकर परामर्श देंगे,अनदेखा करेंगे,c
Teaching Aptitude,शिक्षण सहायक सामग्री (Teaching Aids) का उपयोग क्यों किया जाता है?,समय काटने के लिए,शिक्षण को रोचक और प्रभावी बनाने के लिए,छात्रों को खुश करने के लिए,दिखावे के लिए,b
Teaching Aptitude,गृहकार्य (Homework) देने का उद्देश्य क्या है?,छात्रों को व्यस्त रखना,स्वाध्याय की आदत डालना,माता-पिता को खुश करना,सिलेबस पूरा करना,b
Teaching Aptitude,यदि आप प्रधानाचार्य बन जाएं तो आपका प्राथमिकता क्या होगी?,अधिकार जमाना,विद्यालय का सर्वांगीण विकास,आराम करना,शिक्षकों पर रौब झाड़ना,b
Teaching Aptitude,शिक्षा में 'किंडरगार्टन' पद्धति किसने दी?,फ्रोबेल,मोंटेसरी,रूसो,डाल्टन,a
Teaching Aptitude,एक शिक्षक को अपने विषय के अलावा और क्या ज्ञान होना चाहिए?,बाल मनोविज्ञान,राजनीति,शेयर बाजार,फिल्मों का,a
